c:\Users\danil\Work\exercises-java\description.es.yml,description.es.yml,es,650
c:\Users\danil\Work\exercises-java\description.ru.yml,description.ru.yml,ru,590
c:\Users\danil\Work\exercises-java\drafts\description.en.yml,description.en.yml,en,590
c:\Users\danil\Work\exercises-java\drafts\10-basics\description.en.yml,description.en.yml,en,346
c:\Users\danil\Work\exercises-java\drafts\10-basics\10-hello-world\description.en.yml,description.en.yml,en,2599
c:\Users\danil\Work\exercises-java\drafts\10-basics\20-comments\description.en.yml,description.en.yml,en,1500
c:\Users\danil\Work\exercises-java\drafts\10-basics\30-statements\description.en.yml,description.en.yml,en,1274
c:\Users\danil\Work\exercises-java\drafts\10-basics\40-testing\description.en.yml,description.en.yml,en,3303
c:\Users\danil\Work\exercises-java\drafts\10-basics\50-syntax-error\description.en.yml,description.en.yml,en,1675
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\description.en.yml,description.en.yml,en,410
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\10-basics\description.en.yml,description.en.yml,en,1531
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\20-operators\description.en.yml,description.en.yml,en,1895
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\30-commutative\description.en.yml,description.en.yml,en,1264
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\40-composition\description.en.yml,description.en.yml,en,1560
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\50-priority\description.en.yml,description.en.yml,en,1633
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\60-float\description.en.yml,description.en.yml,en,1823
c:\Users\danil\Work\exercises-java\drafts\20-arithmetics\80-linting\description.en.yml,description.en.yml,en,2252
c:\Users\danil\Work\exercises-java\drafts\25-strings\description.en.yml,description.en.yml,en,352
c:\Users\danil\Work\exercises-java\drafts\25-strings\10-quotes\description.en.yml,description.en.yml,en,1854
c:\Users\danil\Work\exercises-java\drafts\25-strings\15-escape-characters\description.en.yml,description.en.yml,en,6005
c:\Users\danil\Work\exercises-java\drafts\25-strings\20-strings-concatenation\description.en.yml,description.en.yml,en,2322
c:\Users\danil\Work\exercises-java\drafts\30-variables\description.en.yml,description.en.yml,en,470
c:\Users\danil\Work\exercises-java\drafts\30-variables\10-definition\description.en.yml,description.en.yml,en,2637
c:\Users\danil\Work\exercises-java\drafts\30-variables\12-change\description.en.yml,description.en.yml,en,1649
c:\Users\danil\Work\exercises-java\drafts\30-variables\13-variables-naming\description.en.yml,description.en.yml,en,1926
c:\Users\danil\Work\exercises-java\drafts\30-variables\14-errors\description.en.yml,description.en.yml,en,1477
c:\Users\danil\Work\exercises-java\drafts\30-variables\15-variable-expressions\description.en.yml,description.en.yml,en,3327
c:\Users\danil\Work\exercises-java\drafts\30-variables\18-variables-concatenation\description.en.yml,description.en.yml,en,2007
c:\Users\danil\Work\exercises-java\drafts\30-variables\19-naming-style\description.en.yml,description.en.yml,en,1904
c:\Users\danil\Work\exercises-java\drafts\30-variables\20-magic-numbers\description.en.yml,description.en.yml,en,2780
c:\Users\danil\Work\exercises-java\drafts\30-variables\23-constants\description.en.yml,description.en.yml,en,1175
c:\Users\danil\Work\exercises-java\drafts\33-data-types\description.en.yml,description.en.yml,en,196
c:\Users\danil\Work\exercises-java\drafts\33-data-types\41-data-types-basics\description.en.yml,description.en.yml,en,2741
c:\Users\danil\Work\exercises-java\drafts\33-data-types\45-explicit-types\description.en.yml,description.en.yml,en,2095
c:\Users\danil\Work\exercises-java\drafts\33-data-types\47-data-types-list\description.en.yml,description.en.yml,en,4582
c:\Users\danil\Work\exercises-java\drafts\33-data-types\50-null\description.en.yml,description.en.yml,en,1951
c:\Users\danil\Work\exercises-java\drafts\33-data-types\55-type-casting\description.en.yml,description.en.yml,en,1215
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\description.en.yml,description.en.yml,en,368
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\100-methods\description.en.yml,description.en.yml,en,3708
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\105-methods-parameters\description.en.yml,description.en.yml,en,2372
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\110-methods-as-expressions\description.en.yml,description.en.yml,en,2393
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\115-string-immutability\description.en.yml,description.en.yml,en,2407
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\120-methods-chain\description.en.yml,description.en.yml,en,3274
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\200-methods-deterministic\description.en.yml,description.en.yml,en,2297
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\400-stdlib\description.en.yml,description.en.yml,en,2232
c:\Users\danil\Work\exercises-java\drafts\35-methods-using\500-methods-variants\description.en.yml,description.en.yml,en,3778
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\description.en.yml,description.en.yml,en,518
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\100-method-definition-static\description.en.yml,description.en.yml,en,4211
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\150-method-main\description.en.yml,description.en.yml,en,3724
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\200-method-definition-return\description.en.yml,description.en.yml,en,4950
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\300-method-definition-parameters\description.en.yml,description.en.yml,en,5544
c:\Users\danil\Work\exercises-java\drafts\40-methods-definition\400-method-definition-default-parameters\description.en.yml,description.en.yml,en,3900
c:\Users\danil\Work\exercises-java\drafts\45-logic\description.en.yml,description.en.yml,en,394
c:\Users\danil\Work\exercises-java\drafts\45-logic\10-bool-type\description.en.yml,description.en.yml,en,2784
c:\Users\danil\Work\exercises-java\drafts\45-logic\12-string-comparasion\description.en.yml,description.en.yml,en,5464
c:\Users\danil\Work\exercises-java\drafts\45-logic\20-combine-expressions\description.en.yml,description.en.yml,en,2941
c:\Users\danil\Work\exercises-java\drafts\45-logic\25-logical-operators\description.en.yml,description.en.yml,en,4068
c:\Users\danil\Work\exercises-java\drafts\45-logic\28-logical-negation\description.en.yml,description.en.yml,en,1321
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\description.en.yml,description.en.yml,en,421
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\30-if\description.en.yml,description.en.yml,en,1827
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\40-if-else\description.en.yml,description.en.yml,en,1695
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\50-else-if\description.en.yml,description.en.yml,en,2405
